[0]	test-rmse:10.4118
[1]	test-rmse:7.7467
[2]	test-rmse:6.00556
[3]	test-rmse:4.9146
[4]	test-rmse:4.26842
[5]	test-rmse:3.89442
[6]	test-rmse:3.68334
[7]	test-rmse:3.56883
[8]	test-rmse:3.50567
[9]	test-rmse:3.45361
[10]	test-rmse:3.42722
[11]	test-rmse:3.40657
[12]	test-rmse:3.39465
[13]	test-rmse:3.37517
[14]	test-rmse:3.36161
[15]	test-rmse:3.35435
[16]	test-rmse:3.3441
[17]	test-rmse:3.33875
[18]	test-rmse:3.33258
[19]	test-rmse:3.32046
[20]	test-rmse:3.31619
[21]	test-rmse:3.30979
[22]	test-rmse:3.3069
[23]	test-rmse:3.30287
[24]	test-rmse:3.29621
[25]	test-rmse:3.29512
[26]	test-rmse:3.29398
[27]	test-rmse:3.2886
[28]	test-rmse:3.28498
[29]	test-rmse:3.28464
[30]	test-rmse:3.27978
[31]	test-rmse:3.27816
[32]	test-rmse:3.27069
[33]	test-rmse:3.26742
[34]	test-rmse:3.25998
[35]	test-rmse:3.25852
[36]	test-rmse:3.26013
[37]	test-rmse:3.25896
[38]	test-rmse:3.25657
[39]	test-rmse:3.25421
[40]	test-rmse:3.24992
[41]	test-rmse:3.24719
[42]	test-rmse:3.24274
[43]	test-rmse:3.2389
[44]	test-rmse:3.24061
[45]	test-rmse:3.23719
[46]	test-rmse:3.23558
[47]	test-rmse:3.23174
[48]	test-rmse:3.22857
[49]	test-rmse:3.22769
[50]	test-rmse:3.22502
[51]	test-rmse:3.22478
[52]	test-rmse:3.22265
[53]	test-rmse:3.22092
[54]	test-rmse:3.21932
[55]	test-rmse:3.21797
[56]	test-rmse:3.21748
[57]	test-rmse:3.21443
[58]	test-rmse:3.21317
[59]	test-rmse:3.21091
[60]	test-rmse:3.20855
[61]	test-rmse:3.20737
[62]	test-rmse:3.20222
[63]	test-rmse:3.20122
[64]	test-rmse:3.19983
[65]	test-rmse:3.19935
[66]	test-rmse:3.19893
[67]	test-rmse:3.19845
[68]	test-rmse:3.19792
[69]	test-rmse:3.19614
[70]	test-rmse:3.19445
[71]	test-rmse:3.19415
[72]	test-rmse:3.19154
[73]	test-rmse:3.19227
[74]	test-rmse:3.19116
[75]	test-rmse:3.18849
[76]	test-rmse:3.18709
[77]	test-rmse:3.1882
[78]	test-rmse:3.1879
[79]	test-rmse:3.18808
[80]	test-rmse:3.1873
[81]	test-rmse:3.18744
[82]	test-rmse:3.18653
[83]	test-rmse:3.18657
[84]	test-rmse:3.18667
[85]	test-rmse:3.18566
[86]	test-rmse:3.1854
[87]	test-rmse:3.18453
[88]	test-rmse:3.18394
[89]	test-rmse:3.18029
[90]	test-rmse:3.18009
[91]	test-rmse:3.17768
[92]	test-rmse:3.17697
[93]	test-rmse:3.17584
[94]	test-rmse:3.1736
[95]	test-rmse:3.17126
[96]	test-rmse:3.1702
[97]	test-rmse:3.17041
[98]	test-rmse:3.16916
[99]	test-rmse:3.17004
[100]	test-rmse:3.1699
[101]	test-rmse:3.16932
[102]	test-rmse:3.16767
[103]	test-rmse:3.16716
[104]	test-rmse:3.16541
[105]	test-rmse:3.16569
[106]	test-rmse:3.16499
[107]	test-rmse:3.1639
[108]	test-rmse:3.16285
[109]	test-rmse:3.16406
[110]	test-rmse:3.1625
[111]	test-rmse:3.16145
[112]	test-rmse:3.16057
[113]	test-rmse:3.16089
[114]	test-rmse:3.16082
[115]	test-rmse:3.16008
[116]	test-rmse:3.16009
[117]	test-rmse:3.16003
[118]	test-rmse:3.15929
[119]	test-rmse:3.15828
[120]	test-rmse:3.15635
[121]	test-rmse:3.15594
[122]	test-rmse:3.15566
[123]	test-rmse:3.15474
[124]	test-rmse:3.15409
[125]	test-rmse:3.15363
[126]	test-rmse:3.15341
[127]	test-rmse:3.15215
[128]	test-rmse:3.152
[129]	test-rmse:3.15192
[130]	test-rmse:3.15147
[131]	test-rmse:3.1521
[132]	test-rmse:3.15221
[133]	test-rmse:3.15184
[134]	test-rmse:3.15102
[135]	test-rmse:3.15081
[136]	test-rmse:3.15112
[137]	test-rmse:3.14999
[138]	test-rmse:3.15085
[139]	test-rmse:3.15024
[140]	test-rmse:3.15011
[141]	test-rmse:3.15001
[142]	test-rmse:3.15029
[143]	test-rmse:3.14969
[144]	test-rmse:3.14883
[145]	test-rmse:3.14849
[146]	test-rmse:3.14797
[147]	test-rmse:3.14775
[148]	test-rmse:3.14762
[149]	test-rmse:3.14597
[150]	test-rmse:3.1453
[151]	test-rmse:3.14509
[152]	test-rmse:3.14505
[153]	test-rmse:3.14512
[154]	test-rmse:3.14512
[155]	test-rmse:3.14224
[156]	test-rmse:3.14231
[157]	test-rmse:3.14226
[158]	test-rmse:3.14208
[159]	test-rmse:3.14194
[160]	test-rmse:3.14161
[161]	test-rmse:3.14158
[162]	test-rmse:3.14048
[163]	test-rmse:3.13997
[164]	test-rmse:3.13905
[165]	test-rmse:3.13894
[166]	test-rmse:3.13884
[167]	test-rmse:3.1386
[168]	test-rmse:3.13731
[169]	test-rmse:3.13706
[170]	test-rmse:3.13637
[171]	test-rmse:3.13556
[172]	test-rmse:3.13536
[173]	test-rmse:3.13398
[174]	test-rmse:3.13395
[175]	test-rmse:3.13387
[176]	test-rmse:3.13203
[177]	test-rmse:3.13179
[178]	test-rmse:3.13139
[179]	test-rmse:3.13079
[180]	test-rmse:3.13042
[181]	test-rmse:3.12998
[182]	test-rmse:3.12943
[183]	test-rmse:3.12957
[184]	test-rmse:3.12907
[185]	test-rmse:3.12876
[186]	test-rmse:3.12874
[187]	test-rmse:3.12846
[188]	test-rmse:3.12924
[189]	test-rmse:3.12907
[190]	test-rmse:3.12886
[191]	test-rmse:3.12887
[192]	test-rmse:3.12879
[193]	test-rmse:3.12898
[194]	test-rmse:3.1287
[195]	test-rmse:3.12868
[196]	test-rmse:3.12916
[197]	test-rmse:3.12901
